record_id,td
51,102.83870967741936
116,44.45161290322581
462,24.096774193548388
730,101.35483870967742
767,65.64516129032258
831,77.2258064516129
902,49.064516129032256
953,42.83870967741935
1033,71.74193548387096
1180,72.25806451612904
1248,83.54838709677419
1356,48.354838709677416
1429,164.16129032258064
1514,97.51612903225806
1554,91.29032258064517
1565,259.06451612903226
1746,50.903225806451616
1881,108.93548387096774
1994,53.774193548387096
2279,70.93548387096774
2496,40.61290322580645
2545,65.09677419354838
2624,69.48387096774194
2740,121.48387096774194
2803,62.83870967741935
3076,48.064516129032256
3314,132.38709677419354
3442,634.2903225806451
3608,69.29032258064517
3680,50.03225806451613
3769,49.12903225806452
3842,48.064516129032256
4154,83.78125
4201,87.28125
4269,63.875
4327,46.0625
4377,50.9375
4461,42.40625
