number_cores,K8s_test1,benchmark,K8s_test2,K8s_test3,bare_metal,speedup_test1,speedup_test2,speedup_test3,speedup_metal,efficiecy_test1,efficiecy_test2,efficiecy_test3,efficiecy_metal
1,483,387,506,500,411,0.7648221343873518,0.7648221343873518,0.774,0.9416058394160584,0.7648221343873518,0.7648221343873518,0.774,0.9416058394160584
2,275,0,265,262,203,1.460377358490566,1.460377358490566,1.4770992366412214,1.9064039408866995,0.730188679245283,0.730188679245283,0.7385496183206107,0.9532019704433498
4,273,0,112,150,115,3.455357142857143,3.455357142857143,2.58,3.365217391304348,0.8638392857142857,0.8638392857142857,0.645,0.841304347826087
6,280,0,113,111,86,3.424778761061947,3.424778761061947,3.4864864864864864,4.5,0.5707964601769911,0.5707964601769911,0.581081081081081,0.75
8,279,0,88,89,68,4.3977272727272725,4.3977272727272725,4.348314606741573,5.691176470588236,0.5497159090909091,0.5497159090909091,0.5435393258426966,0.7113970588235294
10,283,0,77,76,59,5.025974025974026,5.025974025974026,5.092105263157895,6.559322033898305,0.5025974025974026,0.5025974025974026,0.5092105263157894,0.6559322033898305
12,278,0,75,74,57,5.16,5.16,5.22972972972973,6.789473684210527,0.43,0.43,0.4358108108108108,0.5657894736842105
14,298,0,63,63,46,6.142857142857143,6.142857142857143,6.142857142857143,8.41304347826087,0.4387755102040817,0.4387755102040817,0.4387755102040817,0.6009316770186335
16,0,0,0,0,46,0.0,0.0,0.0,8.41304347826087,0.0,0.0,0.0,0.5258152173913043
